dataset,score,samples
styletts_2.tar.gz,1239,4458
xttsv2.tar.gz,1234,8825
metavoice.tar.gz,1185,8692
melotts.tar.gz,1175,4090
openvoice.tar.gz,1159,6456
gptsovits.tar.gz,1154,2816
whisper_speech.tar.gz,1149,6771
parler.tar.gz,1142,2676
vokan.tar.gz,1127,830
openvoice_v2.tar.gz,1123,1763
voicecraft2.tar.gz,1117,1913
pheme.tar.gz,1030,6293
