dataset,score
gptsovits.tar.gz,3.9178861665725706
melotts.tar.gz,4.503567109107971
metavoice.tar.gz,3.407154655456543
openvoice.tar.gz,4.571557483673096
openvoice_v2.tar.gz,4.754074404938052
parler.tar.gz,4.1613611674308775
pheme.tar.gz,4.261589989662171
styletts_2.tar.gz,4.476174194812774
voicecraft2.tar.gz,3.7077458763122557
vokan.tar.gz,4.2249416995048525
whisper_speech.tar.gz,3.8925832223892214
xttsv2.tar.gz,4.362676258087158
