dataset,score
gptsovits.tar.gz,3.502905280459672
melotts.tar.gz,3.992041330635548
metavoice.tar.gz,3.436090810410678
openvoice.tar.gz,4.103178264796734
openvoice_v2.tar.gz,4.29298181305028
parler.tar.gz,3.966940307468176
pheme.tar.gz,3.921599238961935
styletts_2.tar.gz,4.361891261339188
voicecraft2.tar.gz,4.209745143949985
vokan.tar.gz,3.8010571937263014
whisper_speech.tar.gz,3.7847091773705324
xttsv2.tar.gz,3.8873762784153225
