benchmark,corr,p
ENVIRONMENT,0.11666666666666665,0.7650079429261462
INTELLIGIBILITY,0.16666666666666669,0.668231040071504
OVERALL,0.33333333333333337,0.3807131816768634
PROSODY,0.6,0.0876228290414024
SPEAKER,0.6833333333333333,0.04244227208707231
wvmos,0.31666666666666665,0.4063970144863861
utmos,0.049999999999999996,0.8983528043506301
